Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_24_927.jpg;0;0.8000822;0;0.07733847;99.67905;85.60287;0.3345208;56.97883;-0.0003879067
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_24_994.jpg;0;1;0;0.1194192;99.68718;85.61535;0.5853418;57.16608;-0.001154562
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_25_061.jpg;0;1;0;0.1763828;99.69571;85.62851;0.8203027;57.23507;-0.0009714673
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_25_127.jpg;0;1;0;0.2378785;99.70599;85.64426;1.069325;57.05299;0.0001436191
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_25_194.jpg;0;1;0;0.2821389;99.72149;85.6678;1.329828;57.10714;-0.002763929
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_25_261.jpg;0;1;0;0.3395962;99.73242;85.68376;1.220625;57.05212;-0.0005746667
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_25_327.jpg;0;1;0;0.4124704;99.74475;85.7026;1.1002;57.032;0.000773955
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_25_394.jpg;0;1;0;0.4748766;99.76502;85.73362;1.06235;57.11668;-0.001096487
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_25_461.jpg;0;1;0;0.5120809;99.78283;85.76093;1.106128;57.15124;-0.001285863
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_25_527.jpg;0;1;0;0.5763712;99.80245;85.79118;1.188661;57.22514;-0.0005116806
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_25_594.jpg;0;1;0;0.6248554;99.83052;85.83419;1.248664;57.30101;-0.002314303
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_25_661.jpg;0;1;0;0.6621447;99.85268;85.86841;1.214287;57.25101;-0.0003385973
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_25_727.jpg;0;1;0;0.7340592;99.87651;85.90515;1.179527;57.2166;0.0003932461
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_25_795.jpg;0;1;0;0.8021367;99.91191;85.95966;1.211496;57.19327;-0.0006929922
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_25_861.jpg;0;1;0;0.8409147;99.94016;86.00328;1.225939;57.19404;-0.001239109
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_25_928.jpg;0;1;0;0.9160885;99.97021;86.04955;1.235994;57.17152;-0.0006552369
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_25_995.jpg;0;1;0;0.9651924;100.0126;86.11465;1.222848;57.16157;-0.0006584628
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_26_062.jpg;0;1;0;1.013345;100.046;86.16611;1.209108;57.16952;-0.0002997946
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_26_128.jpg;0;1;0;1.071141;100.0813;86.22028;1.221496;57.2156;-0.001017582
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_26_195.jpg;0;1;0;1.123159;100.1306;86.29624;1.228088;57.19924;-0.0007640627
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_26_261.jpg;0;1;0;1.165636;100.1693;86.35568;1.223322;57.16092;-0.0007590443
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_26_327.jpg;0;1;0;1.230011;100.2096;86.41769;1.230501;57.11817;-0.0007523213
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_26_394.jpg;0;1;0;1.278977;100.2658;86.5039;1.233054;57.08528;-0.0008626445
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_26_461.jpg;0;1;0;1.32607;100.3098;86.57134;1.236678;57.0618;-0.0008883717
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_26_527.jpg;0;1;0;1.387558;100.3554;86.64114;1.239908;57.04173;-0.000914232
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_26_594.jpg;0;1;0;1.434767;100.4187;86.73792;1.247955;57.01772;-0.0009315279
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_26_661.jpg;0;1;0;1.481653;100.468;86.81319;1.251039;57.00568;-0.0009538926
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_26_728.jpg;0;1;0;1.544151;100.5188;86.8908;1.254134;56.99502;-0.0009752163
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_26_794.jpg;0;1;0;1.591376;100.589;86.99791;1.259999;56.98014;-0.001000918
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_26_861.jpg;0;1;0;1.637828;100.6434;87.08095;1.26338;56.96726;-0.0009921127
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_26_927.jpg;0;1;0;1.698417;100.6994;87.16626;1.266993;56.95805;-0.00102243
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_26_995.jpg;0;1;0;1.745085;100.7764;87.28365;1.274295;56.94173;-0.001031907
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_27_061.jpg;0;1;0;1.790163;100.8359;87.37434;1.279446;56.93034;-0.00105518
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_27_127.jpg;0;1;0;1.851582;100.897;87.46725;1.282064;56.92095;-0.001073489
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_27_195.jpg;0;1;0;1.896899;100.9807;87.59471;1.28786;56.90505;-0.001087128
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_27_261.jpg;-3.003205;1;0;1.941984;101.0461;87.69225;1.286743;56.70082;-0.0001092572
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_27_328.jpg;-6.001695;1;0;2.000308;101.1146;87.79094;1.286853;56.20284;0.001490744
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_27_394.jpg;-3.002899;1;0;2.045911;101.2094;87.92513;1.290071;55.51224;0.001424002
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_27_461.jpg;-0.003331304;1;0;2.089736;101.2821;88.02871;1.301102;55.30494;-0.000290518
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_27_527.jpg;0;1;0;2.148301;101.356;88.13457;1.30896;55.25951;-0.001092929
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_27_594.jpg;0;1;0;2.19349;101.457;88.27895;1.311512;55.23691;-0.001209741
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_27_661.jpg;0;1;0;2.237422;101.5345;88.38976;1.316145;55.22651;-0.001250308
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_27_727.jpg;0;1;0;2.296096;101.6136;88.50272;1.319265;55.2137;-0.00125143
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_27_794.jpg;0;1;0;2.339717;101.7215;88.65659;1.321952;55.19915;-0.001250578
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_27_861.jpg;0;1;0;2.383484;101.8041;88.77448;1.324028;55.18691;-0.00126483
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_27_927.jpg;-1.490761;1;0;2.441207;101.8885;88.89444;1.329313;55.14666;-0.001224
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_27_994.jpg;-4.499507;1;0;2.484177;102.0052;89.05592;1.323556;54.64557;0.001106226
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_28_061.jpg;-7.492772;1;0;2.525937;102.097;89.1775;1.318469;53.8468;0.0009024375
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_28_127.jpg;-10.49144;1;0;2.579693;102.1935;89.29834;1.304108;52.6761;359.9583
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_28_194.jpg;-13.50198;1;0;2.617814;102.3294;89.45607;1.202957;50.48679;359.8487
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_28_261.jpg;-15;1;0;2.65563;102.4375;89.57053;1.048565;48.47045;359.7203
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_28_327.jpg;-15;1;0;2.706933;102.5508;89.682;0.8514261;46.37325;359.5514
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_28_394.jpg;-15;1;0;2.744682;102.7094;89.82594;0.5325688;43.55676;359.2842
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_28_461.jpg;-11.99895;1;0;2.783687;102.8338;89.93134;0.2754869;41.65446;359.0763
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_28_527.jpg;-8.997897;1;0;2.837682;102.9621;90.03581;0.02408952;40.08328;358.8932
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_28_594.jpg;-5.99973;1;0;2.877175;103.1399;90.17843;359.9032;38.64938;358.8377
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_28_661.jpg;-2.998815;1;0;2.910058;103.2792;90.28822;0.01614291;37.97515;358.924
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_28_728.jpg;0;1;0;2.968325;103.4211;90.3988;0.1236108;37.65187;359.0576
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_28_794.jpg;0;1;0;3.00908;103.6148;90.54871;0.3358758;37.55861;359.2497
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_28_861.jpg;0;1;0;3.048736;103.7631;90.66315;0.5422097;37.55517;359.4022
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_28_928.jpg;0;1;0;3.101026;103.9134;90.77939;0.7686944;37.57266;359.5714
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_28_994.jpg;0;1;0;3.140987;104.1169;90.937;1.085939;37.60228;359.8145
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_29_061.jpg;0;1;0;3.181189;104.2718;91.0571;1.330051;37.63116;-0.003878671
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_29_127.jpg;0;1;0;3.233304;104.4286;91.17508;1.457441;37.59969;-0.001418897
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_29_194.jpg;0;1;0;3.28268;104.6372;91.33336;1.37679;37.60844;-0.0007373396
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_29_261.jpg;0;1;0;3.323049;104.7961;91.45435;1.344976;37.58946;-0.000823318
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_29_327.jpg;0;1;0;3.375335;104.9572;91.57718;1.342532;37.5669;-0.0009095187
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_29_394.jpg;0;1;0;3.41448;105.1755;91.74353;1.37624;37.53661;-0.0010031
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_29_461.jpg;0;1;0;3.453565;105.3415;91.87;1.411651;37.51326;-0.001615136
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_29_527.jpg;0;1;0;3.506396;105.5091;91.99757;1.420533;37.49509;-0.001679142
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_29_594.jpg;0;1;0;3.546209;105.7354;92.16963;1.412855;37.47585;-0.001696751
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_29_661.jpg;0;1;0;3.586232;105.9075;92.30036;1.41418;37.45961;-0.001545267
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_29_727.jpg;0;1;0;3.637452;106.0815;92.43246;1.417946;37.44047;-0.001663073
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_29_794.jpg;0;1;0;3.677131;106.3164;92.61074;1.423683;37.41636;-0.00157698
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_29_861.jpg;0;1;0;3.715264;106.4948;92.74599;1.424883;37.39904;-0.001242144
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_29_927.jpg;0;1;0;3.767354;106.6751;92.88259;1.428073;37.37933;-0.001599722
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_29_994.jpg;0;1;0;3.805897;106.9184;93.06682;1.432005;37.35485;-0.001252664
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_30_061.jpg;0;1;0;3.843608;107.1032;93.20654;1.43674;37.33375;-0.001644084
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_30_127.jpg;0;1;0;3.895143;107.2897;93.34754;1.438041;37.31428;-0.001645313
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_30_194.jpg;0;1;0;3.932579;107.5414;93.53763;1.443924;37.28691;-0.0016727
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_30_261.jpg;0;1;0;3.970596;107.7324;93.68172;1.447385;37.26769;-0.001201643
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_30_327.jpg;0;1;0;4.02088;107.9252;93.82707;1.448843;37.24635;-0.001316353
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_30_395.jpg;0;1;0;4.058291;108.1851;94.02291;1.45373;37.21753;-0.001338935
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_30_461.jpg;0;1;0;4.09627;108.3823;94.17126;1.456387;37.19436;-0.001831776
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_30_527.jpg;0;1;0;4.146017;108.5813;94.32091;1.460808;37.17237;-0.001733831
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_30_594.jpg;0;1;0;4.182666;108.8494;94.52238;1.464945;37.14185;-0.001763245
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_30_661.jpg;0;1;0;4.22024;109.0527;94.67494;1.467265;37.11992;-0.001382126
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_30_727.jpg;0;1;0;4.268767;109.2578;94.82877;1.472793;37.09572;-0.001395687
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_30_799.jpg;0;1;0;4.306057;109.5341;95.03573;1.474142;37.06416;-0.001409246
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_30_861.jpg;0;1;0;4.342538;109.7435;95.19242;1.478416;37.03932;-0.001408448
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_30_927.jpg;0;1;0;4.390547;109.9547;95.35035;1.484274;37.01369;-0.001443575
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_30_995.jpg;0;1;0;4.427439;110.2391;95.56274;1.487265;36.97925;-0.001834417
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_31_061.jpg;0;1;0;4.463537;110.4544;95.72345;1.488147;36.95487;-0.00145735
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_31_127.jpg;-2.991645;1;0;4.511353;110.6721;95.88478;1.492759;36.80068;-0.001133235
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_31_194.jpg;-5.990939;1;0;4.546795;110.9669;96.0989;1.486861;36.10867;0.0004452862
/Users/aslanfeng/Documents/Lifelong Learning/robotics/RoboND-Rover-Project-master/training_dataset/IGM/IMG/robocam_2018_07_03_19_53_31_261.jpg;-6.009977;1;0;4.581846;111.1917;96.25805;1.470998;35.2951;-0.0001218096
